Device,Engine,Model Name,Model Size,Quantization,Batch Size,Prefill (tps),Decode (tps),Input Seq Length,Output Seq Len,time to process 100k and generate 2k
NVIDIA DGX Spark,ollama,gpt-oss,20b,mxfp4,1,"2,053.98",60.91,,,81.5
NVIDIA DGX Spark,ollama,gpt-oss,120b,mxfp4,1,94.67,41.88,,,1104.0
NVIDIA DGX Spark,ollama,llama-3.1,8b,q4_K_M,1,"23,169.59",43.18,,,50.6
NVIDIA DGX Spark,ollama,llama-3.1,8b,q8_0,1,"19,826.27",28.54,,,75.1
NVIDIA DGX Spark,ollama,llama-3.1,70b,q4_K_M,1,411.41,4.58,,,679.7
NVIDIA DGX Spark,ollama,gemma-3,12b,q4_K_M,1,"1,513.60",26.51,,,141.5
NVIDIA DGX Spark,ollama,gemma-3,12b,q8_0,1,"1,131.42",16.09,,,212.7
NVIDIA DGX Spark,ollama,gemma-3,27b,q4_K_M,1,680.68,11.51,,,320.7
NVIDIA DGX Spark,ollama,gemma-3,27b,q8_0,1,65.37,7.35,,,1801.8
NVIDIA DGX Spark,ollama,deepseek-r1,14b,q4_K_M,1,"2,500.24",21.45,,,133.2
NVIDIA DGX Spark,ollama,deepseek-r1,14b,q8_0,1,"1,816.97",13.68,,,201.3
NVIDIA DGX Spark,ollama,qwen-3,32b,q4_K_M,1,100.42,9.53,,,1205.7
NVIDIA DGX Spark,ollama,qwen-3,32b,q8_0,1,37.85,6.24,,,2962.6
NVIDIA DGX Spark,sglang,gpt-oss,20b,mxfp4,1,433.91,69.56,2048,2048,259.2
NVIDIA DGX Spark,sglang,gpt-oss,120b,mxfp4,1,676.22,50.54,2048,2048,187.5
NVIDIA DGX Spark,sglang,llama-3.1,8b,fp8,1,"7,991.11",20.52,2048,2048,110.0
NVIDIA DGX Spark,sglang,llama-3.1,70b,fp8,1,803.54,2.66,2048,2048,875.8
NVIDIA DGX Spark,sglang,gemma-3,12b,fp8,1,"1,295.83",6.84,2048,2048,369.5
NVIDIA DGX Spark,sglang,gemma-3,27b,fp8,1,717.36,3.83,2048,2048,661.9
NVIDIA DGX Spark,sglang,deepseek-r1,14b,fp8,1,"2,177.04",12.02,2048,2048,212.4
NVIDIA DGX Spark,sglang,qwen-3,32b,fp8,1,"1,145.66",6.08,2048,2048,416.0
NVIDIA DGX Spark,sglang,gpt-oss,20b,mxfp4,2,427.26,97.66,2048,2048,254.5
NVIDIA DGX Spark,sglang,gpt-oss,120b,mxfp4,2,242.66,68.15,2048,2048,441.4
NVIDIA DGX Spark,sglang,llama-3.1,8b,fp8,2,"7,377.34",42.30,2048,2048,60.8
NVIDIA DGX Spark,sglang,llama-3.1,70b,fp8,2,876.90,5.31,2048,2048,490.4
NVIDIA DGX Spark,sglang,gemma-3,12b,fp8,2,"1,541.21",16.13,2048,2048,188.9
NVIDIA DGX Spark,sglang,gemma-3,27b,fp8,2,723.61,7.76,2048,2048,395.9
NVIDIA DGX Spark,sglang,deepseek-r1,14b,fp8,2,"2,027.24",24.00,2048,2048,132.7
NVIDIA DGX Spark,sglang,qwen-3,32b,fp8,2,"1,150.12",12.17,2048,2048,251.3
NVIDIA DGX Spark,sglang,gpt-oss,20b,mxfp4,4,469.98,158.64,2048,2048,225.4
NVIDIA DGX Spark,sglang,gpt-oss,120b,mxfp4,4,293.93,91.95,2048,2048,362.0
NVIDIA DGX Spark,sglang,llama-3.1,8b,fp8,4,"7,902.03",77.31,2048,2048,38.5
NVIDIA DGX Spark,sglang,llama-3.1,70b,fp8,4,948.18,10.40,2048,2048,297.8
NVIDIA DGX Spark,sglang,gemma-3,12b,fp8,4,"1,351.51",30.92,2048,2048,138.7
NVIDIA DGX Spark,sglang,gemma-3,27b,fp8,4,801.56,14.95,2048,2048,258.5
NVIDIA DGX Spark,sglang,deepseek-r1,14b,fp8,4,"2,106.97",45.28,2048,2048,91.6
NVIDIA DGX Spark,sglang,qwen-3,32b,fp8,4,"1,148.81",23.72,2048,2048,171.4
NVIDIA DGX Spark,sglang,gpt-oss,20b,mxfp4,8,552.53,219.25,2048,2048,190.1
